PERIODO,idnoremp,ciiu4,ACTNOM,Seccion,gastos_tot,GASPROGESAMB,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB
2021,20478,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,11628751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20479,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,8564622,8200,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2021,20480,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,6206046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20481,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,6340349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20482,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,4997267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20483,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,491497355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20484,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,2317311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20485,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,4299877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20486,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,16707498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20487,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,3700611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20488,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,3073782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20489,5210,Almacenamiento y depósito,H1 Auxiliares del transporte,13423596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20490,8220,Actividades de centros de llamadas (call center),N5 Call center,63072958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20491,8220,Actividades de centros de llamadas (call center),N5 Call center,33248355,50820,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
2021,20492,5229,Otras actividades complementarias al transporte,H1 Auxiliares del transporte,2129699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20493,7911,Actividades de las agencias de viaje,N2 Agencias de viajes,45547649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20494,7911,Actividades de las agencias de viaje,N2 Agencias de viajes,1452495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20495,9511,Mantenimiento y reparación de computadores y de equipo periférico,S Otros Servicios,3557471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20496,9602,Peluquería y otros tratamientos de belleza,S Otros Servicios,8978938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20497,9602,Peluquería y otros tratamientos de belleza,S Otros Servicios,835485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14439,5511,Organización de convenciones y eventos comerciales,I1 Alojamiento,3528306,1405,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2021,14440,9329,Otras actividades recreativas y de esparcimiento n.c.p.,"R  Actividades creativas, artísticas y de entretenim",5529732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,14441,5511,Otros tipos de expendio de comidas preparadas n.c.p.,I1 Alojamiento,9088275,57500,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
2021,14442,5511,Alojamiento en hoteles,I1 Alojamiento,6519310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
