idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
18835;2022;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas a cambio de una retribución o por contrata;554245;18421317;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
13844;2022;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de vehículos automotores;23549;297631525;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1
13257;2022;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de vehículos automotores;23549;297631525;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1
11741;2022;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de vehículos automotores;23549;297631525;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1
11880;2022;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;83493;31575992;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19042;2022;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;83493;31575992;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1
20899;2022;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;83493;31575992;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1
11763;2022;M1 Actividades profesionales, científicas;Actividades jurídicas;54760;27453035;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
12913;2022;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;54760;27453035;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
11688;2022;M1 Actividades profesionales, científicas;Actividades jurídicas;54760;27453035;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
20112;2022;M1 Actividades profesionales, científicas;Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria;114832;87275066;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;1
10751;2022;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;114832;87275066;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1
18610;2022;M1 Actividades profesionales, científicas;Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria;114832;87275066;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
19922;2022;M1 Actividades profesionales, científicas;Actividades de administración empresarial;126457;81403177;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0
14175;2022;M1 Actividades profesionales, científicas;Actividades de administración empresarial;126457;81403177;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
12147;2022;M1 Actividades profesionales, científicas;Actividades de administración empresarial;126457;81403177;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
11410;2022;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;219828;35414227;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1
20901;2022;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;219828;35414227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
11321;2022;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;219828;35414227;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0
12883;2022;M1 Actividades profesionales, científicas;Actividades de arquitectura;36826;4373660;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20722;2022;M1 Actividades profesionales, científicas;Actividades de ingeniería y otras actividades conexas de consultoría técnica;36826;4373660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
12839;2022;M1 Actividades profesionales, científicas;Construcción de otras obras de ingeniería civil;36826;4373660;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
14939;2022;M1 Actividades profesionales, científicas;Actividades de apoyo para la extracción de petróleo y de gas natural;584879;515956864;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1
