Periodo,idnoremp,ciiu4,idact,seccion,gastos_tot,GASPROGESAMB,INGREVEN,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTINV9,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB,PUEAA,SEPRRSSC,REUTRECI,TRATRECI,COMRESID,COMPMPS,intio
2019,10130,8691,8514,Q Salud humana,486473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,1316673
2019,10131,5320,6412,H2 Postales y correos,2571648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,1533001
2019,10132,8621,8512,Q Salud humana,14171097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,9353257
2019,10133,8699,8519,Q Salud humana,23577245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,si,no,no,no,17073286
2019,10134,5629,5529,I2 Expendio de alimentos,651517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,310635
2019,10135,8610,8511,Q Salud humana,83784508,40858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,si,si,si,no,no,no,no,67022844
2019,10136,7310,7430,M2 Publicidad,22767663,62252,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,si,si,si,si,no,no,no,23836720
2019,10138,8621,8512,Q Salud humana,10062765,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,no,no,no,no,no,no,no,9023747
2019,10139,5511,5511,I1 Alojamiento,10488247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,si,no,8958416
2019,10140,5511,5511,I1 Alojamiento,5019340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,5427108
2019,10141,5229,6390,H1 Auxiliares del transporte,3281852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,3746965
2019,10142,8691,8514,Q Salud humana,9674032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,no,no,9611968
2019,10143,5611,5521,I2 Expendio de alimentos,34419167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,28175497
2019,10144,8610,8511,Q Salud humana,46661190,40000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,si,si,si,no,no,no,no,26789289
2019,10145,5221,6331,H1 Auxiliares del transporte,5929921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,si,no,no,6688969
2019,10146,6810,7010,LN1 Inmobiliarias Y Alquileres,46418477,0,685,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,si,no,61560450
2019,10148,8610,8511,Q Salud humana,14964093,20373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,si,no,si,si,no,no,no,11719788
2019,10149,8610,8511,Q Salud humana,14713746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,11596154
2019,10151,8621,8512,Q Salud humana,33013211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,si,no,no,no,18493862
2019,10152,7820,7491,N3 Obtención y suministro de personal,547312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,no,no,718329
2019,10153,6910,7411,"M1 Actividades profesionales, científicas",3326335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,no,no,2741259
2019,10154,7110,7421,"M1 Actividades profesionales, científicas",5435558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,7184752
2019,10155,8610,8511,Q Salud humana,46560704,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,si,si,no,no,no,no,no,39238278
2019,10156,7730,7122,LN1 Inmobiliarias Y Alquileres,61989444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,52531611
2019,10157,5224,6310,H1 Auxiliares del transporte,1951146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,2034319
2019,10158,5224,6310,H1 Auxiliares del transporte,35290825,5000,600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,si,si,si,no,no,si,no,40892003
2019,10159,8010,7492,N3 Obtención y suministro de personal,90533078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,si,no,94631884
2019,10162,8020,7492,N3 Obtención y suministro de personal,58317143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,60674198
2019,10163,8610,8511,Q Salud humana,96383230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,no,no,63236320
2019,10164,7820,7491,N3 Obtención y suministro de personal,69583579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,69332783
2019,10167,7110,7421,"M1 Actividades profesionales, científicas",39272549,550,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,si,si,si,no,no,no,no,26909679
2019,10168,8129,7493,N3 Obtención y suministro de personal,8894088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,no,si,no,no,si,9949736
2019,10169,5914,9212,"J1 Producción, distribución y exhibición",173065953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,173110336
2019,10170,8622,8513,Q Salud humana,16941087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,9504589
2019,10171,5530,5512,I1 Alojamiento,1396486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,1710924
2019,10172,7820,7491,N3 Obtención y suministro de personal,5054890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,4892375
