id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10902,2021,M2,publicidad,"14.662.840,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,M2,16170696,14,1176389,1327730,7,7,14,149346,99309,0,0,0
10903,2021,M2,publicidad,"3.329.514,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,M2,4929943,97,2350695,2527764,45,52,97,55387,20588,17749,67035,0
10904,2021,M2,publicidad,"31.621.517,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,M2,30509098,1137,19217259,23226258,565,833,1398,324542,168404,5515,8077,41
10905,2021,M2,publicidad,"34.317.190,00","758,00",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1999,M2,44089566,180,11651286,15032623,90,90,180,279960,579877,0,16151,0
10906,2021,M2,publicidad,"30.268.691,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,M2,38019768,282,24328091,24709086,170,112,282,75665,284842,2715,52537,0
10910,2021,J1,otros servicios,"1.585.457,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,J1,1685470,4,123824,148116,2,2,4,18873,41544,504,469,0
10914,2021,M2,publicidad,"38.810.543,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,M2,43443269,77,6366649,6653948,42,47,89,405056,220161,9549,33807,948
10916,2021,M2,publicidad,"11.847.100,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,M2,13053578,62,1783728,1918128,24,38,62,145731,110720,8000,22344,22864
10917,2021,M2,publicidad,"16.238.839,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,M2,19826228,130,8247643,8940733,59,75,134,127627,242765,98,5957,0
10919,2021,M2,publicidad,"47.636.850,00","1.000,00",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1945,M2,55074289,243,18314081,19157212,132,117,249,249670,360651,23950,85797,0
