id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
20235,1997,2022,Q,39728245,321,9177570,9385667,270,55,325,0,2494509,62400,366750,0
20236,2000,2022,Q,26811328,178,4019433,4160480,136,43,179,17571,28304,540,7851,84
20237,1975,2022,Q,16646406,147,4916210,4994650,94,53,147,0,149891,21606,204868,9285
20238,1989,2022,Q,6537000,34,990632,1036043,33,4,37,0,82774,1676,107517,0
20239,2005,2022,Q,4775458,56,1971353,2005963,47,9,56,33328,21290,19660,58318,63
20240,2014,2022,Q,12060147,73,2989999,3115162,55,18,73,3898,40272,6038,375377,0
20241,2008,2022,Q,4017887,43,1516705,1516705,43,0,43,6100,3200,2375,101051,120
20242,2009,2022,Q,4711273,34,783517,838486,29,5,34,14780,48041,9072,70532,0
20581,2007,2022,I2,38556061,3,194075,194075,1,2,3,31845,650252,3446,17882,6314
20582,2017,2022,I2,88910246,36,651428,669921,24,12,36,7463,185094,486,13269,11213
20583,2009,2022,Q,16901100,27,1211247,1675509,23,6,29,1912,203358,2695,23989,0
20584,2014,2022,Q,7161679,16,541996,554553,10,6,16,0,68757,31,74828,4799
20585,2019,2022,R,4047659,29,588823,666239,27,6,33,0,6901,4259,251381,1064
21076,2014,2022,Q,34450704,411,10814921,11235284,339,73,412,5049,4821,45053,593213,5417
21077,2004,2022,Q,9413798,42,701100,766100,21,22,43,14267,171449,12856,45419,0
15250,1994,2022,N3,26661274,769,18678055,18979362,135,636,771,2509,14990,8955,52560,2661
15252,2001,2022,N3,3486819,109,2077371,2205045,99,11,110,21509,14648,921,9144,0
15253,1990,2022,Q,29412914,94,3371292,3530087,67,27,94,934,466728,1912,137354,421
15254,1998,2022,Q,13540806,98,3609074,3698687,87,11,98,2832,3876,15563,144623,227
15255,2016,2022,I1,2170132,17,298823,324177,11,7,18,7842,8417,12953,90021,7298
15256,2002,2022,I2,36848649,7,252272,262252,4,4,8,18251,9466,15800,42620,50310
18532,1998,2022,J2,5653947,41,1424007,1449207,21,20,41,14015,25246,7914,231113,1092
19127,2011,2022,M1,69658909,312,10962948,11353948,95,218,313,534676,350174,7336,57630,742
19128,1995,2022,R,20169334,97,2446318,2556921,53,44,97,13883,70775,40487,199912,0
21078,1982,2022,H1,3019510,47,1420219,1466700,19,28,47,23587,73795,9570,85233,0
20244,2012,2022,Q,22387261,130,3147497,3242652,82,48,130,4622,16068,13536,516579,1609
20245,2002,2022,Q,6370579,79,2289385,2359292,56,23,79,0,52707,5642,118998,0
15257,1978,2022,Q,17223920,169,4272422,4283060,157,27,184,0,0,4906,622294,1200
15258,2004,2022,Q,8698618,108,3662297,3662297,88,20,108,0,30524,40839,40136,0
15259,1999,2022,Q,6716237,104,5342194,5422088,65,39,104,2439,10786,15364,238429,0
15260,2005,2022,R,172229412,257,5467910,5886760,206,51,257,60839,122970,25845,527942,1000
15261,2006,2022,P,14540875,224,9450002,9701378,138,86,224,47101,86998,21555,119533,0
19129,2008,2022,Q,8757752,161,4498844,4883891,122,39,161,280,870,4910,91690,0
20586,2013,2022,I1,721498,12,278233,278233,0,13,13,1823,0,7982,96689,1444
15262,2017,2022,I1,1885606,22,433958,441535,12,10,22,7213,3741,28960,205186,11126
15263,1981,2022,N3,77182047,1251,52304950,55798182,91,1160,1251,105421,893477,9438,86893,0
15264,1993,2022,Q,44811214,288,8413875,8773041,242,46,288,1,1030864,73930,1201742,67773
15265,2019,2022,Q,17580469,124,3255249,3255249,103,21,124,21781,84650,38064,520800,1187
15266,1985,2022,N3,1411093,49,1122568,1153045,6,43,49,1594,843,1164,12467,18
15267,2001,2022,Q,25862873,220,6088989,6516084,190,30,220,2071,105891,60374,329372,21963
16148,2012,2022,I1,2092573,22,580997,595122,12,10,22,7810,83037,104030,202274,4531
15268,2013,2022,M1,183648108,3304,77172699,81809682,301,3003,3304,398694,1211737,102512,1435178,0
15269,2000,2022,Q,79522626,556,17788895,18612100,408,148,556,0,1884969,5931,1621660,37627
15270,1996,2022,N3,7047352,170,3858709,4003882,21,152,173,10220,75896,963,15090,0
15272,2005,2022,Q,6489772,33,758957,799669,25,8,33,0,0,4419,188435,890
15274,2011,2022,Q,70667831,502,14331288,15010824,309,196,505,0,0,818097,1041214,0
15275,2005,2022,N3,4711376,189,3291866,3423679,94,97,191,5724,83779,592,5164,40
15276,1996,2022,I1,1126504,11,323215,335811,6,7,13,3619,4101,11632,110942,2737
15277,2012,2022,I1,15666374,69,2311990,2460672,36,36,72,0,249540,119021,811081,68168
15278,2009,2022,Q,24780822,403,11549406,11688977,309,94,403,0,29283,1201,100305,2762
15280,2008,2022,Q,9977108,112,2403137,2606473,70,42,112,0,30636,57367,349301,1186
15281,2004,2022,Q,31797000,284,8197868,8583970,227,57,284,4906,187500,66378,629295,17137
15283,2012,2022,Q,12560927,91,2889457,2889457,68,23,91,0,341037,9155,247955,5627
17922,1987,2022,I2,3483533,54,1495933,1596474,32,22,54,37555,40969,0,0,0
18533,1990,2022,R,6409408,38,934991,993881,25,13,38,4097,59136,2927,81794,1017
19130,2015,2022,Q,6741403,129,2784505,3019086,102,27,129,1909,30421,2301,32316,0
19725,2012,2022,I1,3919394,36,777626,831719,22,14,36,53646,186326,0,86820,20740
19726,1968,2022,I1,1703546,32,770529,775450,12,24,36,16493,30000,21345,378000,8901
20587,2018,2022,I1,1550848,12,253678,276175,8,5,13,2386,6676,2079,75951,4218
20588,2019,2022,I1,2306344,25,536831,556925,12,14,26,90000,7795,1046,103542,0
15284,1991,2022,I1,79502411,321,12685163,12983982,255,208,463,634182,323225,1048240,3056373,0
15285,1998,2022,I1,13058524,56,1295260,1563803,41,15,56,175531,184110,157438,496908,41420
15286,1990,2022,I1,306092903,1667,52303779,60091773,955,981,1937,2616246,7470779,3497443,11571286,2444750
15287,2002,2022,I1,32805943,192,6030857,6388664,119,101,220,144489,1151235,442877,1786269,261894
15288,1977,2022,I1,13504069,92,2725709,2815986,35,60,95,29416,92099,54010,617511,281826
15289,1969,2022,I1,35987847,147,6049657,6249062,94,60,154,244725,4400,668350,1488472,240471
15290,1967,2022,I1,16199295,71,1889970,1987317,60,12,72,203669,153814,150135,796341,72169
15291,1994,2022,N2,5300291,84,2233654,2325786,34,50,84,17216,27020,1146,74938,0
15292,1975,2022,N2,2483025,22,749077,786412,22,15,37,17197,40366,955,31321,0
15293,1996,2022,J3,15540846,41,1557393,1600694,13,30,43,201837,76107,4935,160111,0
15294,2002,2022,I1,11404548,61,2004007,2484514,35,29,64,71004,89460,150250,510382,51451
15295,2010,2022,I1,4261738,37,1365310,1457285,23,22,45,37576,30603,27862,172742,13010
15296,1990,2022,I1,12387360,90,2982874,3159936,52,38,90,57232,77524,123210,244353,65751
15297,2002,2022,I1,32313934,246,12138665,12631334,131,115,246,301120,61874,167432,787297,0
