id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
20783,2022,Q,salud humana,10908202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,Q,32971186.0,175.0,6013829,6274013,121.0,59.0,180.0,184874,157944,11070,27513,125
20785,2022,Q,salud humana,31544624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,Q,33202349.0,302.0,17296382,18387381,182.0,120.0,302.0,348833,127185,286,59590,0
11006,2022,Q,salud humana,1290598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,Q,478142.0,2.0,86328,86328,2.0,0.0,2.0,5179,18041,1754,0,0
20819,2022,Q,salud humana,9071720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Q,8776516.0,74.0,4553218,4628015,20.0,54.0,74.0,89611,41790,5220,6600,0
20839,2022,Q,salud humana,17709185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,Q,17826385.0,114.0,7077758,7168871,70.0,44.0,114.0,0,122720,6413,22196,1124
10151,2022,Q,salud humana,14585265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,Q,18783523.0,75.0,2009194,2208140,96.0,54.0,150.0,64894,24089,81945,391850,436
12252,2022,Q,salud humana,2032674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,Q,1770596.0,8.0,396871,423933,4.0,4.0,8.0,37929,2034,2394,3071,0
13185,2022,Q,salud humana,57353771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Q,60020733.0,246.0,9396802,9541102,196.0,50.0,246.0,6530,11848,21919,304645,21
17574,2022,Q,salud humana,4784728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Q,4710410.0,37.0,1442077,1461629,28.0,10.0,38.0,521,0,12186,22036,0
13197,2022,Q,salud humana,1970428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Q,2031379.0,17.0,467792,467792,13.0,4.0,17.0,8477,7818,2652,16165,0
