id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
18967,2022,N2,agencias de viajes,5366498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15383,2022,N2,agencias de viajes,5366498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11013,2022,N3,obtencion y suministro de personal,21229282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12184,2022,N3,obtencion y suministro de personal,21229282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10960,2022,N3,obtencion y suministro de personal,21229282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13614,2022,N3,obtencion y suministro de personal,182770994,198796,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20982,2022,N3,obtencion y suministro de personal,182770994,198796,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
11012,2022,N3,obtencion y suministro de personal,182770994,198796,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
16706,2022,N3,obtencion y suministro de personal,94469548,188817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12814,2022,N3,obtencion y suministro de personal,94469548,188817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11471,2022,N3,obtencion y suministro de personal,94469548,188817,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
11153,2022,N3,obtencion y suministro de personal,197572223,86773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11169,2022,N3,obtencion y suministro de personal,197572223,86773,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
13430,2022,N3,obtencion y suministro de personal,197572223,86773,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
11128,2022,N3,obtencion y suministro de personal,137732692,216069,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
