id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
10426,2020,H1,auxiliares del transporte,3082086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10428,2020,H1,auxiliares del transporte,98404965,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10431,2020,H1,auxiliares del transporte,16839466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10432,2020,H1,auxiliares del transporte,14631823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10434,2020,H1,auxiliares del transporte,79673891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10435,2020,H1,auxiliares del transporte,5689554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10437,2020,H1,auxiliares del transporte,34215618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10438,2020,H1,auxiliares del transporte,28655373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10440,2020,H1,auxiliares del transporte,42117594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10441,2020,H1,auxiliares del transporte,12130907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10442,2020,H1,auxiliares del transporte,21824945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10443,2020,H1,auxiliares del transporte,32473006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10449,2020,H1,auxiliares del transporte,26973521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10451,2020,H1,auxiliares del transporte,1039296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10464,2020,H1,auxiliares del transporte,35722593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10469,2020,H1,auxiliares del transporte,5185477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10478,2020,H1,auxiliares del transporte,219324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19360,2020,H1,auxiliares del transporte,1850214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10480,2020,H1,auxiliares del transporte,4779021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10481,2020,H1,auxiliares del transporte,10425383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10483,2020,H1,auxiliares del transporte,7350993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10484,2020,H1,auxiliares del transporte,4388789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10485,2020,H1,auxiliares del transporte,21565838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10486,2020,H1,auxiliares del transporte,5163892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10487,2020,H1,auxiliares del transporte,16222653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10489,2020,H1,auxiliares del transporte,12140988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10490,2020,H1,auxiliares del transporte,38316724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10491,2020,H1,auxiliares del transporte,15615508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10492,2020,H1,auxiliares del transporte,8660216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10495,2020,H1,auxiliares del transporte,4273195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10499,2020,H1,auxiliares del transporte,29494871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10501,2020,H1,auxiliares del transporte,13570402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10502,2020,H1,auxiliares del transporte,6899226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10503,2020,H1,auxiliares del transporte,5441595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10505,2020,H1,auxiliares del transporte,2858259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10507,2020,H1,auxiliares del transporte,3055897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10509,2020,H1,auxiliares del transporte,5990306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10512,2020,H1,auxiliares del transporte,1794733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10513,2020,H1,auxiliares del transporte,1930436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10514,2020,H1,auxiliares del transporte,2810516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10515,2020,H1,auxiliares del transporte,7241671,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10572,2020,H1,auxiliares del transporte,26276927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10997,2020,H1,auxiliares del transporte,37293408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11223,2020,H1,auxiliares del transporte,8165066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11229,2020,H1,auxiliares del transporte,3549120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15548,2020,H1,auxiliares del transporte,8158044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11470,2020,H1,auxiliares del transporte,7648854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11473,2020,H1,auxiliares del transporte,10829679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11474,2020,H1,auxiliares del transporte,3047077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11475,2020,H1,auxiliares del transporte,3072336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11518,2020,H1,auxiliares del transporte,1600577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11555,2020,H1,auxiliares del transporte,6660371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11556,2020,H1,auxiliares del transporte,13911698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11597,2020,H1,auxiliares del transporte,4649697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
